,detail,headline,link
86,"Esha Deol wished her fans on Janmashtami by sharing an adorable picture with
daughter Radhya Takhtani on Instagram.",Esha Deol and daughter Radhya are adorable duo in new Janmashtami pic,/movies/celebrities/story/esha-deol-and-daughter-radhya-are-adorable-duo-in-new-janmashtami-pic-1591215-2019-08-24
87,"Former BCCI vice-president and BJP leader Arun Jaitley passed away at the
AIMS hospital in New Delhi on Saturday. He was 66. ",India to wear black armbands in Antigua to condole Arun Jaitley's death,/sports/cricket/story/arun-jaitley-death-india-cricket-black-armbands-west-indies-1st-test-day-3-antigua-1591213-2019-08-24
88,"Aamir Khan took to Instagram to share an adorable picture with son Azad on
Janmashtami.",Aamir Khan celebrates Janmashtami with son Azad. Shares adorable photo,/movies/celebrities/story/aamir-khan-celebrates-janmashtami-with-son-azad-shares-adorable-photo-1591203-2019-08-24
89,"Popular singer Chinmayi Sripaada accused Vairamuthu of sexual harassment in
October, 2018.",Chinmayi Sripaada on Vairamuthu: All men named in #MeToo have been whitewashed,/movies/regional-cinema/story/chinmayi-sripaada-on-vairamuthu-all-men-named-in-metoo-have-been-whitewashed-1591175-2019-08-24
90,"Law Minister and BJP leader Ravi Shankar Prasad tweeted that Jaitley was like
an elder brother to him. He added that Jaitley's intellect, leadership and
eloquence was truly extraordinary.",Arun Jaitley was like an elder brother to me: Ravi Shankar Prasad,/india/story/arun-jaitley-was-like-an-elder-brother-to-me-ravi-shankar-prasad-1591157-2019-08-24
91,"A school teacher in Uttar Pradesh's Muzaffarnagar district was sacked for
allegedly canning students in order to maintain discipline students.","Uttar Pradesh: 1 teacher sacked, another suspended for caning students",/crime/story/uttar-pradesh-1-teacher-sacked-another-suspended-for-caning-students-in-muzaffarnagar-1591155-2019-08-24
92,"The horrific incident took place on Friday night in Tangra, also known as
China Town. The police recovered the bodies based on a complaint lodged by a
neighbour.","Chinese origin man kills father, wife with iron bucket in Kolkata",/crime/story/chinese-origin-man-kills-father-wife-with-iron-bucket-in-kolkata-1591147-2019-08-24
93,"Prime Minister Narendra Modi in an interview said strengthening ties with the
UAE is one of the most important foreign policy priorities of his government.",Strengthening ties with UAE a priority: PM Modi,/india/story/strengthening-ties-with-uae-remains-one-of-the-most-significant-foreign-policy-priorities-of-modi-2-0-pm-1591095-2019-08-24
94,"Former India opener Virender Sehwag paid a tribute to Arun Jaitley in a
heartfelt post on social media. Jaitley, who played a crucial role in the
rise of Delhi cricketers, had arranged the wedding of Sehwag at his official
residence.",Arun Jaitley hosted Virender Sehwag's wedding at his house,/sports/cricket/story/ddca-bcci-arun-jaitley-hosted-virender-sehwag-marriage-2004-delhi-1591145-2019-08-24
95,"Amitpal Singh Bajaj, his wife and two-year-old son were in Thailand for a
holiday and were staying in the five-star Centara Grand Hotel in Phuket at
the time of the fatal confrontation.",British Sikh man choked to death by drunk Norwegian man in Thailand,/world/story/british-sikh-man-choked-to-death-by-drunk-norwegian-man-in-thailand-1591142-2019-08-24
96,"Arun Jaitley, BJP's key troubleshooter passed away on Saturday, at the age of
66. He was instrumental in ousting Lalu Prasad out of power in Bihar and
bringing BJP back in action in 2017.",When BJP turned to Arun Jaitley to come back to power in Nitish Kumar’s Bihar,/india/story/arun-jaitley-death-how-bjp-came-to-power-in-2017-in-nitish-kumar-bihar-1591141-2019-08-24
97,"Sports fraternity have started pouring condolences in after passing away of
former finance minister Arun Jaitley on Saturday.",Sports fraternity condoles demise of Arun Jaitley,/sports/cricket/story/sports-fraternity-arun-jaitley-former-finance-minister-geeta-phogat-shikhar-dhawan-1591136-2019-08-24
98,"The death case of a Kolkata woman, whose body was recovered with several
injuries last month has been solved.","Kolkata woman death case cracked, cab driver held",/india/story/kolkata-woman-death-case-cracked-cab-driver-held-1591132-2019-08-24
99,"Modi will be receiving the 'Order of Zayed', the highest civilian decoration
conferred by the UAE government.",PM Modi to be conferred UAE's highest civilian award despite Pak's anti-India rhetoric,/india/story/pm-modi-to-be-conferred-uae-s-highest-civilian-award-despite-pak-s-anti-india-rhetoric-1591131-2019-08-24
100,"Senior Congress leader Kapil Sibal shared an old photo of Arun Jaitley on
Twitter as he remembered his old friend. The former Union Finance Minister
passed away on Saturday.","Together in cricket: In throwback photo, Kapil Sibal pays tribute to Arun Jaitley",/india/story/arun-jaitley-passes-away-news-kapil-sibal-tribute-congress-photo-twitter-1591130-2019-08-24
101,"Virat Kohli was spotted reading Steven Sylvester's book 'Detox Your Ego' in
the dressing room during first Test match against West Indies.",Ind vs WI: Fans troll Virat Kohli for reading 'Detox Your Ego' in dressing room,/sports/cricket/story/ind-vs-wi-virat-kohli-detox-your-ego-kohli-reading-book-dressing-room-antigua-1591125-2019-08-24
102,"In a tweet, Sawant said under Jaitley's tenure as FM the nation has seen
successful roll out of landmark economic reforms.",Goa CM Pramod Sawant expresses grief over Arun Jaitley's demise,/india/story/goa-cm-pramod-sawant-expresses-grief-over-arun-jaitley-s-demise-1591127-2019-08-24
103,"Ajay Devgn took to Twitter to pay tribute to Arun Jaitley. The national
leader passed away at the age of 66 today.",Ajay Devgn remembers Arun Jaitley: Admired his dynamic vision for India,/movies/celebrities/story/ajay-devgn-remembers-arun-jaitley-admired-his-dynamic-vision-for-india-1591129-2019-08-24
104,"Describing Jaitley as the brain behind managing difficult situations faced by
the BJP, Venugopal said he had lost a ""friend"" who was an excellent lawyer
and an equally good politician.","Arun Jaitley's demise big loss for country, legal fraternity: Attorney General ",/india/story/arun-jaitley-s-demise-big-loss-for-country-legal-fraternity-attorney-general-1591121-2019-08-24
105,"West Bengal Chief Minister Mamata Banerjee on Saturday said Arun Jaitley was
was a politician who was ""appreciated across parties"".",Mamata Banerjee expresses grief over demise of Arun Jaitley,/india/story/mamata-banerjee-expresses-grief-over-demise-of-arun-jaitley-1591119-2019-08-24
106,"Arun Jaitley has passed away at the age of 66. He was suffering from a
prolonged illness. PM Narendra Modi has tweeted remembering him as an
esteemed colleague who was full of life.",Will miss him: PM Modi remembers humorous Arun Jaitley,/india/story/arun-jaitley-passes-away-pm-narendra-modi-remembers-colleague-1591116-2019-08-24
107," From Chennai Express to Dilwale Dulhania Le Jayenge, Shah Rukh Khan recalled
romantic train scenes from his past films at a Railways event in Mumbai.",Shah Rukh Khan: Maine railway station pe bahut ladkiyon ke saath mohabbat ki hai. Watch video,/movies/celebrities/story/shah-rukh-khan-maine-railway-station-pe-bahut-ladkiyon-ke-saath-mohabbat-ki-hai-watch-video-1591096-2019-08-24
108," From Chennai Express to Dilwale Dulhania Le Jayenge, Shah Rukh Khan recalled
romantic train scenes from his past films at a Railways event in Mumbai.",Shah Rukh Khan: Maine railway station pe bahut ladkiyon ke saath mohabbat ki hai. Watch video,/movies/celebrities/story/shah-rukh-khan-maine-railway-station-pe-bahut-ladkiyon-ke-saath-mohabbat-ki-hai-watch-video-1591096-2019-08-24
109,"Veteran BJP leader and former Finance Minister Arun Jaitley died on Saturday
at the age of 66 at AIIMS hospital in New Delhi.",Stand on terror won't change till Pakistan takes action: Arun Jaitley ,/india/story/india-s-stand-on-terror-will-remain-unchanged-until-pakistan-takes-action-against-terrorists-dead-arun-jaitley-at-india-today-conclave-1591113-2019-08-24
110,"Jaitley used to work 16-18 hours a day and India had huge expectations that
he would help battle the nation's infected economy, depleted foreign
reserves, high fiscal and current account deficits.",Arun Jaitley: The face behind transformation of Indian economy,/india/story/arun-jaitley-the-face-behind-transformation-of-indian-economy-1591111-2019-08-24
111,"Karan Johar took to Twitter to pay tribute to BJP leader Arun Jaitley, who
passed away at the age of 66 on August 24.",Karan Johar pays tribute to Arun Jaitley: Nation mourns a strong and assured leader ,/movies/celebrities/story/karan-johar-pays-tribute-to-arun-jaitley-nation-mourns-a-strong-and-assured-leader-1591108-2019-08-24
112,"Australian pacer Josh Hazelwood, who scalped five wickets to bundle out
England for a score less than 70, hailed Australia bowling lineup's
competitive spirit in the ongoing Ashes Test.",Josh Hazelwood hails Australia bowling lineup's competitive spirit,/sports/cricket/story/ashes-2019-josh-hazelwood-australia-bowling-lineup-third-test-ashes-test-1591097-2019-08-24
113,"The busts were installed outside the Arts Faculty gate in the North campus,
without permission from the university administration, by former DUSU
President on his last day in office on Tuesday.","DUSU removes busts of freedom fighters Savarkar, Bose, Bhagat Singh",/india/story/dusu-removes-busts-of-freedom-fighters-savarkar-bose-bhagat-singh-1591092-2019-08-24
114,"John Abraham starrer Batla House is going steady at the box office. Batla
House also stars Mrunal Thakur, Ravi Kishan and Rajesh Sharma in pivotal
roles.",Batla House box office collection Day 9: John Abraham film remains steady,/movies/bollywood/story/batla-house-box-office-collection-day-9-john-abraham-film-remains-steady-1591079-2019-08-24
115,"The officer returned back from his leave on August 14 and his wife joined him
at the place of posting on August 20. Initial inquiry leads to some marital
problems.",33-year-old CRPF officer commits suicide in Kashmir,/india/story/33-year-old-crpf-officer-commits-suicide-in-kashmir-1591073-2019-08-24
116,"An unmarried couple committed suicide in Uttar Pradesh’s Barabanki district
by hanging from a tree on Friday.",UP: Couple commits suicide by hanging from tree,/india/story/uttar-pradesh-couple-commits-suicide-by-hanging-from-tree-in-barabanki-1591065-2019-08-24
117,"The Downing Street said that the two leaders discussed ""foreign policy issues
and global trade"" during the call on Friday evening, the BBC reported.","British PM Boris Johnson, US President Donald Trump speak ahead of G7 summit in France",/world/story/british-pm-boris-johnson-us-president-donald-trump-speak-ahead-of-g7-summit-in-france-1591061-2019-08-24
118,"Nationalist Congress Party leader Majeed Memon will visit Jammu and Kashmir
on Saturday.",Not going to create disturbance but to find ground realities: NCP leader on visiting Kashmir,/india/story/not-going-to-create-disturbance-but-to-find-ground-realities-ncp-leader-majeed-memon-on-visiting-j-k-1591063-2019-08-24
119,"When the ambulance did not arrive, the husband of the woman tried to take her
to the hospital on a motorcycle but she gave birth to the child even before
they could reach the hospital.",Woman gives birth on state highway after ambulance fails to arrive,/india/story/woman-gives-birth-on-state-highway-after-ambulance-fails-to-arrive-1591053-2019-08-24
120,"The Trump administration on Friday said that it is working on a plan that
would ease tensions between India and Pakistan. Fresh tensions between the
two countries erupted soon after the Narendra Modi-led government scrapped
Article 370 of the Indian Constitution, that granted special status to Jammu
and Kashmir.",US working on two-prong strategy to ease Indo-Pak tensions over Kashmir issue: Senior officials,/india/story/us-working-on-two-prong-strategy-to-ease-indo-pak-tensions-over-kashmir-issue-senior-officials-1591054-2019-08-24
121,"In the first case the seven-year old girl was raped on August 18 but her
parents could muster courage to register a complaint against the 'godman'
only on Friday.","Madhya Pradesh: 7-year-old raped by neighbour, 20-year-old by husband's colleague",/crime/story/madhya-pradesh-7-year-old-raped-by-neighbour-20-year-old-by-husband-s-colleague-1591047-2019-08-24
122,"A white man from Florida was arrested on Friday for killing a black man over
a dispute.",Florida man convicted in parking lot shooting of a black,/world/story/florida-man-convicted-in-parking-lot-shooting-of-black-man-1591049-2019-08-24
123,"The US corporate world on Friday hailed a slew of announcements made by Union
Finance Minister Nirmala Sitharaman","FM Nirmala Sitharaman's steps will strengthen India's position as global investment destination, says US industry",/india/story/fm-nirmala-sitharaman-s-steps-will-strengthen-india-s-position-as-global-investment-destination-says-us-industry-1591043-2019-08-24
124,"Thunderstorm accompanied by lightning is also very likely at isolated places
over West Bengal and Sikkim, Jharkhand, and Bihar.","Madhya Pradesh, Chhattisgarh, Odisha to witness heavy rainfall: IMD",/india/story/madhya-pradesh-chhattisgarh-odisha-to-witness-heavy-rainfall-imd-1591041-2019-08-24
125,"Sardar Saghir, a leader of Jammu Kashmir Liberation Front (JKLF) told Tanveer
Ahmad, a local journalist, that Pakistan has been using terrorists as proxies
to create instability in Jammu and Kashmir.",Pakistan using terrorists as proxies to create instability in J&K: PoK activist,/india/story/pakistan-using-terrorists-as-proxies-to-create-instability-in-j-k-pok-activist-1591037-2019-08-24
126,"Subbarao, who was the chairman of the FIPB which gave clearance to INX Media,
said, ""Everything was clear in papers and hence the board recommended for
approval to the then finance minister.""","INX Media case: Everything was clear in papers, ex-FIPB chairman Subbarao tells CBI",/india/story/inx-media-case-everything-was-clear-in-papers-ex-fipb-chairman-subbarao-tells-ed-1591034-2019-08-24
127,"In the wake of global outcry over the Amazon rainforest fires, US President
Donald Trump spoke to his counterpart Jair Bolsonaro on Friday and offered
help to Brazil.","Trump speaks with Brazil's Bolsonaro, offers aid with Amazon rainforest fires",/world/story/trump-speaks-with-brazil-s-bolsonaro-offers-aid-with-amazon-rainforest-fires-1591032-2019-08-24
128,"According to the victim, the man would call her frequently and also behave
aggressively at times, even though they didn't interact apart from the
virtual communication via mobiles.","27-year-old MPSC aspirant molests, stalks woman. Arrested",/crime/story/27-year-old-mpsc-aspirant-molests-stalks-woman-arrested-1591031-2019-08-24
129,"Pakistan will be monitored by the Financial Action Task Force in order to
implement the country’s action plan against financing militant outfits. The
international watchdog body stated on Friday.",Global watchdog to monitor Pakistan's progress in tackling militant funding,/world/story/global-watchdog-to-monitor-pakistan-s-progress-in-tackling-militant-funding-1591030-2019-08-24
130,"Sourav Ganguly was a success as captain because of the belief he was able to
instill in the team that they could win away from home. If given an
opportunity as a coach in the future, the former skipper wants to set new
benchmarks of winning overseas.",Will feel great to work with Virat Kohli: Sourav Ganguly on India coach aspirations,/sports/cricket/story/team-india-sourav-ganguly-on-coaching-aspiration-virat-kohli-1591029-2019-08-24
131,"Kapil Sibal hit out at the PM Modi-led BJP government for ""demonising the
Opposition and its leaders"".","Kapil Sibal hits out at BJP govt, PM Modi for demonising Opposition and its leaders",/india/story/kapil-sibal-hits-out-at-bjp-govt-pm-modi-for-demonising-opposition-and-its-leaders-1591028-2019-08-24
132,The Maldives also urged both countries to resolve their differences amicably.,Kashmir is India's internal matter: Maldives tells Pakistan,/india/story/kashmir-is-india-s-internal-matter-maldives-tells-pakistan-1591020-2019-08-24
133,"West Indies lost five wickets in the final session of Day 2 to be reeling at
189 for eight in their first innings at stumps, trailing India by 108 runs.",We gave our wickets too easily: Roston Chase on Windies batting collapse ,/sports/cricket/story/india-vs-west-indies-1st-test-roston-chase-on-batting-collapse-1591022-2019-08-24
134,"Pained by global rage over fire in the Amazon rainforest and deforestation,
Brazil has launched a diplomatic offensive in order to persuade the
international community of its environmental credentials.","As Amazon fires rage, Brazil tells diplomats to fix image",/world/story/exclusive-as-amazon-fires-rage-brazil-tells-diplomats-to-fix-image-1591021-2019-08-24
135,"The Trump's announcement came after China on Friday said it will impose
additional 10 per cent tariffs on USD 75 billion worth of US exports.","Trump hits back at China, announces more tariffs amid escalating trade war ",/world/story/trump-hits-back-at-china-announces-more-tariffs-amid-escalating-trade-war-1591014-2019-08-24
136,"US Open 2019: 22-year-old Sumit Nagal came back from behind after being a set
and 1-4 down to beat Joao Menezes of Brazil and seal his first-ever main draw
berth at a Grand Slam tournament.",Sumit Nagal joins Prajnesh Gunneswaran in US Open 2019 main draw,/sports/tennis/story/sumit-nagal-us-open-2019-main-draw-joao-menezes-joins-prajnesh-gunneswaran-1590997-2019-08-24
137,"Ashes 3rd Test, Day 2: Australia ended the second day with a 283-run lead on
their bag as Marnus Labuschange stood firm once again for the visitors.
Earlier in the day, England posted their 2nd-lowest test total against
Australia since 1904. ",3rd Test: Australia on course to regain Ashes Urn after England's horror collapse,/sports/cricket/story/england-vs-australia-ashes-3rd-test-day-2-67-all-out-josh-hazlewood-marnus-labuschagne-leeds-1590985-2019-08-24
138,"PM Narendra Modi reached UAE capital Abu Dhabi from Paris on the second leg
of his three-nation tour to France, UAE and Bahrain.",PM Narendra Modi arrives in UAE to strenghten bilateral ties,/india/story/pm-narendra-modi-arrives-in-uae-to-strenghten-bilateral-ties-1590979-2019-08-23
139,"The ED raided the premises of the chairman and the managing director of
Deccan Chronicle Holding Limited, and seized Rs 5 lakh in demonetised
currency in connection with a money-laundering probe.","Bank loan fraud: ED raids Deccan Chronicle Holding Ltd, seizes Rs 5L in demonetised currency",/india/story/bank-loan-fraud-ed-raids-deccan-chronicle-holding-ltd-seizes-rs-5l-in-demonetised-currency-1590977-2019-08-23
140,"PM Narendra Modi's visit to the UAE capital Abu Dhabi is part of his
three-nation tour to France, UAE and Bahrain.",PM Narendra Modi embarks for UAE from Paris,/india/story/pm-narendra-modi-embarks-for-uae-from-paris-1590975-2019-08-23
141,"Finance minister Nirmala Sitharaman announced a raft of measures, including
exemption of startups from 'angel tax' and a package to address distress in
the auto sector, to boost economic growth from a five-year low.","Finance minister Nirmala Sitharaman announces raft of measures to boost economy, more steps on anvil",/business/story/finance-minister-nirmala-sitharaman-announces-raft-of-measures-to-boost-economy-more-steps-on-anvil-1590974-2019-08-23
142,"Sai Praneeth became only the 2nd Indian after Prakash Padukone in 1983 to win
an World Championships men's singles medal for India. The World No. 19 is
assured of at least a bronze after he reached the semi-final with a
comfortable win over 4th seed Jonathan Christie on Friday. ","Focus on semi-final, can talk about medal later, says Sai Praneeth",/sports/badminton/story/bwf-world-championships-sai-praneeth-assured-medal-prakash-padukone-kento-momota-semis-1590957-2019-08-23
143,"Ashes 3rd Test, Day 2: Josh Hazlewood picked up a five-wicket haul as an
already trailing England in the series slumped to 67 in their first innings
at Headingley.",The Ashes: Woeful England post lowest total against Australia since 1948,/sports/cricket/story/ashes-2019-3rd-test-england-bowled-out-for-67-lowest-score-against-australia-since-1948-josh-hazlewood-five-wicket-haul-1590935-2019-08-23
144,"Ashes 3rd Test, Day 2: Josh Hazlewood picked up a five-wicket haul as an
already trailing England in the series slumped to 67 in their first innings
at Headingley.",The Ashes: Woeful England post lowest total against Australia since 1948,/sports/cricket/story/ashes-2019-3rd-test-england-bowled-out-for-67-lowest-score-against-australia-since-1948-josh-hazlewood-five-wicket-haul-1590935-2019-08-23
145,Bhumi Pednekar has refuted rumours of her dating actor Jackky Bhagnani.,Bhumi Pednekar is not dating Faltu actor Jackky Bhagnani,/movies/celebrities/story/bhumi-pednekar-is-not-dating-faltu-actor-jackky-bhagnani-1590930-2019-08-23
146,"Sonam Kapoor took to Instagram to reveal that she has become iodine
deficient. She suggested to use table salt to get iodine.",Sonam Kapoor: Just found out I have iodine deficiency,/movies/celebrities/story/sonam-kapoor-just-found-out-i-have-iodine-deficiency-1590929-2019-08-23
147,CBI will try to prove P Chidambaram facilitated kickbacks for his son.,Can CBI nail P Chidambaram?,/news-analysis/story/can-cbi-nail-p-chidambaram-1590925-2019-08-23
148,"Former India captain Sourav Ganguly said Ravi Shastri, who has been retained
as India team head coach, would have to guide the team to wins in big
tournaments and knockout games to prove his reappointment.",Ravi Shastri has to win big tournaments to justify appointment: Sourav Ganguly ,/sports/cricket/story/ravi-shastri-india-cricket-team-head-coach-to-prove-reappointment-sourav-ganguly-1590921-2019-08-23
149,"Reviving domestic and foreign investments was in the focus of Nirmala
Sitharaman's press conference today. Sitharaman announced rollback of
surcharge on super rich, and long and short term capital gains.","Nirmala Sitharaman says all is well with economy, key announcements",/india/story/nirmala-sitharaman-says-all-is-well-with-economy-key-announcements-1590915-2019-08-23
150,"Diana Penty will start shooting for her upcoming film Shiddat next month. The
film also stars Sunny Kaushal, Radhika Madan and Mohit Raina.",Diana Penty to begin shooting for Shiddat in September,/movies/celebrities/story/diana-penty-to-begin-shooting-for-shiddat-in-september-1590914-2019-08-23
151,"The video of Pachtaoge song is out. It stars National Award winning actor
Vicky Kaushal and Nora Fatehi.",Pachtaoge new song: Nora Fatehi cheats on hubby Vicky Kaushal in heartbreaking music video,/movies/bollywood/story/pachtaoge-new-song-nora-fatehi-cheats-on-hubby-vicky-kaushal-in-heartbreaking-music-video-1590905-2019-08-23
152,"Netizens shared pictures of telephones, typewriters and cassettes as
#YouAreOfficiallyOldIf trended on Twitter.","Internet goes crazy over #YouAreOfficiallyOldIf trend. Nostalgic, right?",/trending-news/story/internet-goes-crazy-over-youareofficiallyoldif-trend-nostalgic-right-1590893-2019-08-23
153,"Indian star shuttler PV Sindhu came from a set down to beat former world No.
1 Tai Tzu Ying and assure herself her 5th medal at BWF World Championships.",BWF World Championships: PV Sindhu assured of 3rd straight medal after stunning Tai Tzu Ying,/sports/badminton/story/bwf-world-championships-pv-sindhu-beats-world-no-2-tai-tzu-ying-reach-semi-finals-assured-fifth-medal-1590889-2019-08-23
154,"Finance Minister Nirmala Sitharaman said enhanced surcharge on FPIs have been
removed and pre-Budget position has been restored.",Enhanced surcharge on FPIs removed: Finance Minister Nirmala Sitharaman,/business/story/enhanced-surcharge-on-fpis-removed-finance-minister-nirmala-sitharaman-1590891-2019-08-23
155,"Priyanka Chopra's mother Madhu Chopra danced with Sophie Turner at the
Connecticut concert of Jonas Brothers.",Priyanka Chopra's mom and Sophie Turner burn the dance floor at Jonas Brothers concert. See video,/movies/celebrities/story/priyanka-chopra-s-mom-and-sophie-turner-burn-the-dance-floor-at-jonas-brothers-concert-see-video-1590857-2019-08-23
156,"A Spicejet crew member got injured after she fell down during the push back
of the aircraft.",Spicejet crew falls during push-back in Bengaluru airport,/india/story/spicejet-crew-falls-during-push-back-in-bengaluru-airport-1590842-2019-08-23
157,"Four soldiers were injured after an Army truck fell into a gorge in Himachal
Pradesh's Shimla district.",4 soldiers injured as Army truck falls into Himachal gorge,/india/story/4-soldiers-injured-as-army-truck-falls-into-himachal-gorge-1590834-2019-08-23
158,"Restrictions have been imposed in Srinagar after posters issued by the
separatists called for a protest march against the abrogation of Article 370.",Restrictions imposed in Srinagar after march call to local UN office,/india/story/restrictions-srinagar-protest-march-1590852-2019-08-23
159,"World No. 8 Saina Nehwal blamed poor umpiring for her defeat to Mia
Blichfeldt in a three-game marathon in BWF World Championships 2019.","Parupalli Kashyap, Saina Nehwal slam 'bad umpiring' at World Championships ",/sports/badminton/story/parupalli-kashyap-saina-nehwal-slam-bad-umpiring-at-world-championships-1590846-2019-08-23
160,"Delhi Assembly Speaker Ram Niwas Goel suspended BJP MLA and Leader of
Opposition, Vijender Gupta, for using ""unparliamentary language"" in the
House.",Delhi Assembly Leader of Opposition suspended for session,/india/story/delhi-assembly-speaker-ram-niwas-goel-suspended-1590841-2019-08-23
161,"Samajwadi Party chief Akhilesh Yadav has dissolved all units of the party
including the state executive, and district and youth wings across the state.",Akhilesh dissolves all units of Samajwadi Party in Uttar Pradesh,/india/story/akhilesh-samajwadi-party-uttar-pradesh-1590833-2019-08-23
162,"Two Indian planes crashed in Mont Blanc in the Alps in 1950 and 1966
respectively. Homi Jehangir Bhabha was among the victims in the second air
crash. PM Modi on Friday unveiled a memorial in France dedicated to the
victims.",Modi in France: PM dedicates memorial to 165 victims of 2 plane crashes ,/india/story/narendra-modi-france-mont-blanc-homi-jehangir-bhabha-plane-crash-1590822-2019-08-23
163,"Top diplomats have revealed that Pakistan is not serious about combatting
terrorists.",Pakistan not serious about combating terrorism: Former diplomats,/world/story/pakistan-terrorism-1590824-2019-08-23
164,"Viv Richards praised Virat Kohli for the confidence with which he batted in
the series against Australia in 2014.",Loved the way you gave it back to Australians: Vivian Richards praises Virat Kohli,/sports/cricket/story/viv-richards-virat-kohli-ind-vs-wi-bcci-west-indies-tour-viv-richards-interview-1590808-2019-08-23
165,"India and the US have reviewed the progress of their cooperation in the
fields of defence, security and foreign policy during the bilateral 2+2
Inter-sessional meeting.","India, US 2+2 meet reviews progress of defence ties",/india/story/india-us-2-2-defence-1590807-2019-08-23
166,"Mike Hesson had applied for the role of India’s head coach but lost out to
Ravi Shastri. In 2018, Hesson was named coach of KXIP in the IPL.","RCB appoints Mike Hesson as Director of Cricket Operations, Simon Katich as head coach",/sports/cricket/story/rcb-appoints-mike-hesson-as-director-of-cricket-operations-simon-katich-as-head-coach-1590803-2019-08-23
167,"Security has been tightened in Mathuraa after inputs said that Afghan
terrorists entered the state using UP-Nepal border.",Security tightened in Mathura over terror threat,/india/story/mathura-afghan-terrorists-1590802-2019-08-23
168,"Rainfall is expected in Delhi-NCR, while heavy showers may lash Odisha,
Kerala and Karnataka the next 48 hours over the weekend.","Rains likely in Delhi-NCR, Odisha over the weekend",/india/story/rains-delhi-ncr-odisha-kerala-karnataka-1590795-2019-08-23
169,"Mumbai airport will now tighten security both inside and outside after a
'mentally-ill' jumped over a wall on Thursday.","After breach, Mumbai airport security to be tightened",/india/story/mumbai-airport-security-1590794-2019-08-23
170,"India will receive its first Rafale fighter jet in September, French
President Emmanuel Macron has said.",India to receive first Rafale fighter jet in September,/india/story/india-first-rafale-fighter-jet-1590793-2019-08-23
171,"Enforcement Directorate conducted searches at the premises of Jet Airways
founder Naresh Goyal in connection with a case of alleged contravention of
the foreign exchange law.","ED raids Jet Airways founder Naresh Goyal's premises in Delhi, Mumbai",/india/story/jet-airways-founder-naresh-goyal-ed-search-delhi-mumbai-1590791-2019-08-23
172,"I had gone home in Kashmir to get married. I had no way of knowing I would be
thrashed during the time my family was preparing to revel in festivities.",Kashmir lockdown: Why I cannot hate the armyman who thrashed me,/india/story/kashmir-lockdown-army-kashmiri-violence-first-person-account-1590789-2019-08-23
173,"Sujoy Ghosh bought a tube of herbal toothpaste recently and posted about it
on Twitter. It includes a disclaimer though.",Sujoy Ghosh posts pic of new herbal toothpaste but with a disclaimer. Internet dies laughing,/trending-news/story/sujoy-ghosh-posts-pic-of-new-herbal-toothpaste-but-with-a-disclaimer-internet-dies-laughing-1590775-2019-08-23
174,"Directed by Anu Menon, Vidya Balan's next film is based on Indian math wiz
Shakuntala Devi, who is also called ""Human Computer"".",Vidya Balan on Shakuntala Devi biopic: Curly bob and my classic South Indian face is apt for part,/movies/bollywood/story/vidya-balan-on-shakuntala-devi-biopic-curly-bob-and-my-classic-south-indian-face-is-apt-for-part-1590773-2019-08-23
175,"The soldier was manning a forward post in Kalsia village of Nowshera sector
which came under unprovoked firing from across the border in the early hours,
the officials said.",Army trooper killed in Pakistan firing along LoC,/india/story/army-trooper-killed-pakistan-loc-1590774-2019-08-23
176,"District Collector Awanish Sharan said that access to these regions is
extremely difficult due to lack of roads. ",Chhattisgarh: Health workers set up camp in remote villages of Kawardha,/india/story/chhattisgarh-kawardha-health-workers-1590771-2019-08-23
177,"Liquidity in a broader context can be described as the degree to which an
asset or security can be bought or sold in the market at a price value. In
simpler terms, liquidity can be defined as the ease of converting to cash,
often considered the most liquid asset of all.",Explained: What does liquidity crisis mean?,/business/story/india-liquidity-crisis-nbfc-ilfs-sectoral-slowdown-economic-growth-1590770-2019-08-23
178,"Saif Ali Khan blasted photographers, who were standing outside his house, for
clicking Taimur Ali Khan.",You are not supposed to do that: Saif Ali Khan slams photogs clicking Taimur. Watch viral video,/movies/celebrities/story/you-are-not-supposed-to-do-that-saif-ali-khan-slams-photogs-clicking-taimur-watch-viral-video-1590769-2019-08-23
179,"He added that the water of three rivers rightfully belongs to the country's
farmers and it should not be a matter for anyone's concern.",Pak's accusation on India using water as weapon of war uncalled for: Jal Shakti Minister Gajendra Singh Shekhawat,/india/story/pakistan-water-india-gajendra-singh-shekhawat-1590766-2019-08-23
